לֶאֱבוֹד,le'ev(o)d
לְעַדְכֵּן,le'adk(e)n
לְהִתְעַדֵּן,lehit'ad(e)n
לְעַדֵּן,le'ad(e)n
לְהַעֲדִיף,leha'ad(i)f
לְהֵיעָדֵר,lehe'ad(e)R
לַעֲדוֹר,la'ad(o)R
לְהָעִיב,leha'(i)v
לָעוּג,la'(u)g
לְהִתְעוֹדֵד,lehit'od(e)d
לְהָעִיד,leha'(i)d
לְעוֹדֵד,le'od(e)d
לְהָעִיז,leha'(i)z
לָעוּט,la'(u)t
לְעַוּוֹת,le'av(o)t
לְהַעֲווֹת,leha'av(o)t
לְהָעִיף,leha'(i)f
לָעוּף,la'(u)f
לְהִתְעוֹפֵף,lehit'of(e)f
לְעוֹפֵף,le'of(e)f
לְהָעִיק,leha'(i)k
לְהִתְעוֹרֵר,lehit'oR(e)R
לְהֵיעוֹר,lehe'(o)R
לְהָעִיר,leha'(i)R
לְעוֹרֵר,le'oR(e)R
לְהִתְעַווֵּר,lehit'av(e)R
לָעוּר,la'(u)R
לְעַווֵּר,le'av(e)R
לְהִתְעַווֵּת,lehit'av(e)t
לְעַווֵּת,le'av(e)t
לַעֲזוֹב,la'az(o)v
לְהֵיעָזֵב,lehe'az(e)v
לְהָעֵז,leha'(e)z
לְהֵיעָזֵר,lehe'az(e)R
לַעֲזוֹר,la'az(o)R
לַעֲטוֹת,la'at(o)t
לְהַעֲטוֹת,leha'at(o)t
לַעֲטוֹף,la'at(o)f
לְהֵיעָטֵף,lehe'at(e)f
לְהִתְעַטֵּף,lehit'at(e)f
לְעַטֵּר,le'at(e)R
לְהֵיעָטֵר,lehe'at(e)R
לַעֲטוֹר,la'at(o)R
לְהִתְעַטֵּשׁ,lehit'at(e)x
לְעַייֵּן,le'ay(e)n
לַעֲיוֹן,la'ay(o)n
עָייֵף,ay(e)f
לְהִתְעַייֵּף,lehit'ay(e)f
לְעַייֵּף,le'ay(e)f
לְעַכֵּב,le'ak(e)v
לְהִתְעַכֵּב,lehit'ak(e)v
לְעַכֵּל,le'ak(e)l
לְהִתְעַכֵּל,lehit'ak(e)l
לְהֵיעָכֵל,lehe'aH(e)l
לְהֵיעָכֵר,lehe'aH(e)R
לְהַעֲכִיר,leha'aH(i)R
לַעֲכוֹר,la'aH(o)R
לְהֵיעָלֵב,lehe'al(e)v
לְהַעֲלִיב,leha'al(i)v
לַעֲלוֹב,la'al(o)v
לַעֲלוֹז,la'al(o)z
לְהִתְעַלּוֹת,lehit'al(o)t
לְהַעֲלוֹת,leha'al(o)t
לַעֲלוֹת,la'al(o)t
לְהִתְעַלֵּל,lehit'al(e)l
לְעוֹלֵל,le'ol(e)l
לְהַעֲלִיל,leha'al(i)l
לְהֵיעָלֵם,lehe'al(e)m
לְהַעֲלִים,leha'al(i)m
לְהִתְעַלֵּם,lehit'al(e)m
לְהִתְעַלֵּס,lehit'al(e)s
לְעַלְעֵל,le'al'(e)l
לְעַלֵּף,le'al(e)f
לְהִתְעַלֵּף,lehit'al(e)f
לְהִתְעַלֵּק,lehit'al(e)k
לַעֲמוֹד,la'am(o)d
לְהֵיעָמֵד,lehe'am(e)d
לְהַעֲמִיד,leha'am(i)d
לְעַמֵּד,le'am(e)d
לְהִתְעַמֵּל,lehit'am(e)l
לַעֲמוֹל,la'am(o)l
לְעַמֵּם,le'am(e)m
מוּעָם,mu'(a)m
לַעֲמוֹם,la'am(o)m
לְהַעֲמִיס,leha'am(i)s
לַעֲמוֹס,la'am(o)s
לְעַמְעֵם,le'am'(e)m
לְהִתְעַמְעֵם,lehit'am'(e)m
לְהַעֲמִיק,leha'am(i)k
לְהִתְעַמֵּק,lehit'am(e)k
לַעֲמוֹק,la'am(o)k
לְהִתְעַמֵּר,lehit'am(e)R
לְהִתְעַמֵּת,lehit'am(e)t
לְעַמֵּת,le'am(e)t
לַעֲנוֹב,la'an(o)v
לְעַנֵּג,le'an(e)g
לְהִתְעַנֵּג,lehit'an(e)g
לַעֲנוֹד,la'an(o)d
לַעֲנוֹת,la'an(o)t
לְעַנּוֹת,le'an(o)t
לְהִתְעַנּוֹת,lehit'an(o)t
לְהֵיעָנוֹת,lehe'an(o)t
לְעַנְייֵן,le'any(e)n
לְהִתְעַנְייֵן,lehit'any(e)n
לְהִתְעַנֵּן,lehit'an(e)n
לְהַעֲנִיק,leha'an(i)k
לְהֵיעָנֵשׁ,lehe'an(e)x
לְהַעֲנִישׁ,leha'an(i)x
לַעֲנוֹשׁ,la'an(o)x
לְעַסּוֹת,le'as(o)t
לְהִתְעַסֵּק,lehit'as(e)k
לְהַעֲסִיק,leha'as(i)k
לַעֲסוֹק,la'as(o)k
לְהַעְפִּיל,leha'ap(i)l
לְעַפְעֵף,le'af'(e)f
לְהַעֲצִיב,leha'atz(i)v
לְהֵיעָצֵב,lehe'atz(e)v
לְעַצֵּב,le'atz(e)v
לְהִתְעַצֵּב,lehit'atz(e)v
לְהִתְעַצְבֵּן,lehit'atzb(e)n
לְעַצְבֵּן,le'atzb(e)n
לְהִתְעַצֵּל,lehit'atz(e)l
לַעֲצוֹם,la'atz(o)m
לְהֵיעָצֵם,lehe'atz(e)m
לְהִתְעַצֵּם,lehit'atz(e)m
לְהַעֲצִים,leha'atz(i)m
לַעֲצוֹר,la'atz(o)R
לְהֵיעָצֵר,lehe'atz(e)R
לַעֲקוֹב,la'ak(o)v
לַעֲקוֹד,la'ak(o)d
לְהִתְעַקֵּל,lehit'ak(e)l
לְעַקֵּל,le'ak(e)l
לְעַקֵּם,le'ak(e)m
לְהִתְעַקֵּם,lehit'ak(e)m
לְהֵיעָקֵף,lehe'ak(e)f
לַעֲקוֹף,la'ak(o)f
לַעֲקוֹץ,la'ak(o)tz
לְהֵיעָקֵץ,lehe'ak(e)tz
לְהֵיעָקֵר,lehe'ak(e)R
לְעַקֵּר,le'ak(e)R
לַעֲקוֹר,la'ak(o)R
לְהִתְעַקֵּשׁ,lehit'ak(e)x
לַעֲרוֹב,la'aR(o)v
לְעָרֵב,le'aR(e)v
עָרֵב,aR(e)v
לְהִתְעָרֵב,lehit'aR(e)v
לְעַרְבֵּב,le'aRb(e)v
לְהִתְעַרְבֵּב,lehit'aRb(e)v
לְהִתְעַרְבֵּל,lehit'aRb(e)l
לְעַרְבֵּל,le'aRb(e)l
לַעֲרוֹג,la'aR(o)g
לְעַרְגֵּל,le'aRg(e)l
לְעַרְטֵל,le'aRt(e)l
לַעֲרוֹךְ,la'aR(o)H
לְהֵיעָרֵךְ,lehe'aR(e)H
לְהַעֲרִיךְ,leha'aR(i)H
לַעֲרוֹם,la'aR(o)m
לְהֵיעָרֵם,lehe'aR(e)m
לְהַעֲרִים,leha'aR(i)m
לְעַרְעֵר,le'aR'(e)R
לְהִתְעַרְעֵר,lehit'aR'(e)R
לַעֲרוֹף,la'aR(o)f
לְעַרְפֵּל,le'aRp(e)l
לְהַעֲרִיץ,leha'aR(i)tz
לְהֵיעָרֵץ,lehe'aR(e)tz
לַעֲרוֹק,la'aR(o)k
לַעֲרוֹר,la'aR(o)R
לְעַשֵּׂב,le'as(e)v
לַעֲשׂוֹת,la'as(o)t
לְהֵיעָשׂוֹת,lehe'as(o)t
לְעַשּׂוֹת,le'as(o)t
מְעוּשֶּׂה,me'us(e)
לְעַשֵּׁן,le'ax(e)n
לַעֲשׁוֹק,la'ax(o)k
לְהַעֲשִׁיר,leha'ax(i)R
לְהִתְעַשֵּׁר,lehit'ax(e)R
לְעַשֵּׂר,le'as(e)R
לְהִתְעַשֵּׁת,lehit'ax(e)t
לְהִתְעַתֵּד,lehit'at(e)d
לְהַעְתִּיק,leha'at(i)k
לְהֵיעָתֵק,lehe'at(e)k
לַעֲתוֹר,la'at(o)R
לְהֵיעָתֵר,lehe'at(e)R
לְהַעֲתִיר,leha'at(i)R
לְהַעֲתִיר,leha'at(i)R
לְפָאֵר,lefa'(e)R
לְהִתְפָּאֵר,lehitpa'(e)R
לְפַבְּרֵק,lefabR(e)k
לְהַפְגִּיז,lehafg(i)z
לְהִיפָּגֵם,lehipag(e)m
לִפְגּוֹם,lifg(o)m
לְהַפְגִּין,lehafg(i)n
לְהִיפָּגֵעַ,lehipag(e)a
לִפְגּוֹעַ,lifg(o)a
לְהַפְגִּיעַ,lehafg(i)a
לִפְגּוֹר,lifg(o)R
לְפַגֵּר,lefag(e)R
לְהִתְפַּגֵּר,lehitpag(e)R
לִפְגּוֹשׁ,lifg(o)x
לְהִיפָּגֵשׁ,lehipag(e)x
לְהַפְגִּישׁ,lehafg(i)x
לְהִתְפַדֵּחַ,lehitfad(e)aH
לְהִיפָּדוֹת,lehipad(o)t
לִפְדּוֹת,lifd(o)t
לְפַדֵּר,lefad(e)R
לְהִתְפַּדֵּר,lehitpad(e)R
לְפַהֵק,lefah(e)k
לָפוּג,laf(u)g
לְהָפִיג,lehaf(i)g
לְהִתְפּוֹגֵג,lehitpog(e)g
לְהָפִיחַ,lehaf(i)aH
לְהָפִיץ,lehaf(i)tz
לְהִיפֵּץ,lehip(e)tz
לְהִיפּוֹץ,lehip(o)tz
לָפוּץ,laf(u)tz
לְהָפִיק,lehaf(i)k
לְפוֹרֵר,lefoR(e)R
לִפְזוֹל,lifz(o)l
לְפַזֵּם,lefaz(e)m
לְהִתְפַּזֵּר,lehitpaz(e)R
לְפַזֵּר,lefaz(e)R
לִפְחוֹד,lifH(o)d
לְהַפְחִיד,lehafH(i)d
לְפַחֵד,lefaH(e)d
לִפְחוֹז,lifH(o)z
לְפַחֵם,lefaH(e)m
לְהִתְפַּחֵם,lehitpaH(e)m
לִפְחוֹס,lifH(o)s
לִפְחוֹת,lifH(o)t
לְהַפְחִית,lehafH(i)t
לְפַטֵּם,lefat(e)m
לְהִתְפַּטֵּם,lehitpat(e)m
לְפַטְפֵּט,lefatp(e)t
לְהִיפָּטֵר,lehipat(e)R
לְפַטֵּר,lefat(e)R
לְהִתְפַּטֵּר,lehitpat(e)R
לִפְטוֹר,lift(o)R
לְהַפְטִיר,lehaft(i)R
לְפַייֵּחַ,lefay(e)aH
לְהִתְפַּייֵּס,lehitpay(e)s
לְפַייֵּס,lefay(e)s
לְהִתְפַּכֵּחַ,lehitpak(e)aH
לְפַכּוֹת,lefak(o)t
לְהִתְפַּלֵּא,lehitpal(e)
לְהַפְלִיא,lehafl(i)
לְהִיפָּלֵא,lehipal(e)
לְפַלֵּג,lefal(e)g
לְהִתְפַּלֵּג,lehitpal(e)g
לְהַפְלִיג,lehafl(i)g
לְהִיפָּלֵג,lehipal(e)g
לְפַלֵּחַ,lefal(e)aH
לִפְלוֹחַ,lifl(o)aH
לְהִיפָּלֵט,lehipal(e)t
לִפְלוֹט,lifl(o)t
לְהַפְלִיט,lehafl(i)t
לְהַפְלוֹת,lehafl(o)t
לְהַפְלִיל,lehafl(i)l
לְפַלֵּל,lefal(e)l
לְהִתְפַּלֵּל,lehitpal(e)l
לְפַלֵּס,lefal(e)s
לְהִתְפַּלְסֵף,lehitpals(e)f
לְפַלְפֵּל,lefalp(e)l
לְהִתְפַּלְפֵּל,lehitpalp(e)l
לְהַפְלִיץ,lehafl(i)tz
לְהִתְפַּלֵּץ,lehitpal(e)tz
לִפְלַרְטֵט,liflaRt(e)t
לִפְלוֹשׁ,lifl(o)x
לְהִתְפַּלֵּשׁ,lehitpal(e)x
לְפַמְפֵּם,lefamp(e)m
לְפַנְטֵז,lefant(e)z
לִפְנוֹת,lifn(o)t
לְהִיפָּנוֹת,lehipan(o)t
לְפַנּוֹת,lefan(o)t
לְהַפְנוֹת,lehafn(o)t
לְהִתְפַּנּוֹת,lehitpan(o)t
לְהַפְנִים,lehafn(i)m
לְפַנֵּק,lefan(e)k
לְהִתְפַּנֵּק,lehitpan(e)k
לְהַפְסִיד,lehafs(i)d
לִפְסוֹחַ,lifs(o)aH
לְהִיפָּסֵחַ,lehipas(e)aH
לְפַסְטֵר,lefast(e)R
לְפַסֵּל,lefas(e)l
לְהִיפָּסֵל,lehipas(e)l
לִפְסוֹל,lifs(o)l
פַּס,p(a)s
לִפְסוֹעַ,lifs(o)a
לְפַסְפֵס,lefasf(e)s
לְהִתְפַסְפֵס,lehitfasf(e)s
לְהִיפָּסֵק,lehipas(e)k
לְהַפְסִיק,lehafs(i)k
לִפְסוֹק,lifs(o)k
לִפְעוֹת,lif'(o)t
לִפְעוֹל,lif'(o)l
לְהַפְעִיל,lehaf'(i)l
לְהִתְפַּעֵל,lehitpa'(e)l
לְהִתְפַּעֵם,lehitpa'(e)m
לִפְעוֹם,lif'(o)m
לְהִיפָּעֵם,lehipa'(e)m
לְהַפְעִים,lehaf'(i)m
לְפַעֵם,lefa'(e)m
לְפַעְנֵחַ,lefa'an(e)aH
לְפַעְפֵּעַ,lefa'ap(e)a
לִפְעוֹר,lif'(o)R
לְהִיפָּעֵר,lehipa'(e)R
לְפַצֵּחַ,lefatz(e)aH
לִפְצוֹת,liftz(o)t
לְפַצּוֹת,lefatz(o)t
לְפַצֵּל,lefatz(e)l
לְהִתְפַּצֵּל,lehitpatz(e)l
לְהִיפָּצֵעַ,lehipatz(e)a
לִפְצוֹעַ,liftz(o)a
לְהַפְצִיעַ,lehaftz(i)a
לְפַצְפֵּץ,lefatzp(e)tz
לְהִתְפַּצְפֵּץ,lehitpatzp(e)tz
לְפוֹצֵץ,lefotz(e)tz
לְהַפְצִיץ,lehaftz(i)tz
לְהִתְפּוֹצֵץ,lehitpotz(e)tz
לְהַפְצִיר,lehaftz(i)R
לְהִיפָּקֵד,lehipak(e)d
לְפַקֵּד,lefak(e)d
לְהַפְקִיד,lehafk(i)d
לִפְקוֹד,lifk(o)d
לְהִתְפַּקֵּד,lehitpak(e)d
לִפְקוֹחַ,lifk(o)aH
לְהִיפָּקֵחַ,lehipak(e)aH
לְפַקֵּחַ,lefak(e)aH
לְהִתְפַּקֵּחַ,lehitpak(e)aH
לְפַקְסֵס,lefaks(e)s
לְהַפְקִיעַ,lehafk(i)a
לְהִתְפַּקֵּעַ,lehitpak(e)a
לִפְקוֹעַ,lifk(o)a
לְפַקְפֵּק,lefakp(e)k
לְהַפְקִיר,lehafk(i)R
לְהִתְפַקְשֵׁשׁ,lehitfakx(e)x
לְפַרְגֵּן,lefaRg(e)n
לְהַפְרִיד,lehafR(i)d
לְהִיפָּרֵד,lehipaR(e)d
לְפָרֵז,lefaR(e)z
לְהַפְרִיז,lehafR(i)z
לִפְרוֹחַ,lifR(o)aH
לְהַפְרִיחַ,lehafR(i)aH
לְהִיפָּרֵט,lehipaR(e)t
לְפָרֵט,lefaR(e)t
לְהַפְרִיט,lehafR(i)t
לִפְרוֹט,lifR(o)t
לִפְרוֹת,lifR(o)t
לְהַפְרוֹת,lehafR(o)t
לְהַפְרִיךְ,lehafR(i)H
לְפָרֵךְ,lefaR(e)H
לְפַרְכֵּס,lefaRk(e)s
לְהִתְפַּרְכֵּס,lehitpaRk(e)s
לְהִיפָּרֵם,lehipaR(e)m
לִפְרוֹם,lifR(o)m
לְפַרְמֵט,lefaRm(e)t
לְהִתְפַּרְנֵס,lehitpaRn(e)s
לְפַרְנֵס,lefaRn(e)s
לִפְרוֹס,lifR(o)s
לְהִיפָּרֵס,lehipaR(e)s
לְהִתְפָּרֵס,lehitpaR(e)s
לְהִתְפַּרְסֵם,lehitpaRs(e)m
לְפַרְסֵם,lefaRs(e)m
לְהִתְפָּרֵעַ,lehitpaR(e)a
לְהַפְרִיעַ,lehafR(i)a
לִפְרוֹעַ,lifR(o)a
לְהִיפָּרֵעַ,lehipaR(e)a
לִפְרוֹף,lifR(o)f
לְהִתְפַּרְפֵּר,lehitpaRp(e)R
לְפַרְפֵּר,lefaRp(e)R
לִפְרוֹץ,lifR(o)tz
לְהִיפָּרֵץ,lehipaR(e)tz
לְהִתְפָּרֵץ,lehitpaR(e)tz
לְפָרֵק,lefaR(e)k
לְהִתְפָּרֵק,lehitpaR(e)k
לִפְרוֹק,lifR(o)k
לְהִיפָּרֵק,lehipaR(e)k
לְפַרְקֵד,lefaRk(e)d
לְהִתְפּוֹרֵר,lehitpoR(e)R
לְהָפֵר,lehaf(e)R
לְהַפְרִישׁ,lehafR(i)x
לְפָרֵשׁ,lefaR(e)x
לְהִיפָּרֵשׂ,lehipaR(e)s
לְהִתְפָּרֵשׁ,lehitpaR(e)x
לִפְרוֹשׁ,lifR(o)x
לִפְרוֹשׂ,lifR(o)s
לְפַרְשֵׁן,lefaRx(e)n
לְפַשֵּׁט,lefax(e)t
לְהַפְשִׁיט,lehafx(i)t
לִפְשׁוֹט,lifx(o)t
לְהִיפָּשֵׁט,lehipax(e)t
לְהִתְפַּשֵּׁט,lehitpax(e)t
לִפְשׂוֹת,lifs(o)t
לְהִתְפַשֵּׁל,lehitfax(e)l
לְהַפְשִׁיל,lehafx(i)l
לְפַשֵּׁל,lefax(e)l
לִפְשׁוֹעַ,lifx(o)a
לְפַשְׁפֵּשׁ,lefaxp(e)x
לִפְשׁוֹק,lifx(o)k
לִפְשׂוֹק,lifs(o)k
לְפַשֵּׂק,lefas(e)k
לְפַשֵּׁר,lefax(e)R
לְהִתְפַּשֵּׁר,lehitpax(e)R
לְהַפְשִׁיר,lehafx(i)R
לְהִיפָּתֵחַ,lehipat(e)aH
לְפַתֵּחַ,lefat(e)aH
לְהִתְפַּתֵּחַ,lehitpat(e)aH
לִפְתּוֹחַ,lift(o)aH
לְפַתּוֹת,lefat(o)t
לְהִתְפַּתּוֹת,lehitpat(o)t
לְפַתֵּל,lefat(e)l
לְהִתְפַּתֵּל,lehitpat(e)l
לְהַפְתִּיעַ,lehaft(i)a
לִפְתּוֹר,lift(o)R
לְהִיפָּתֵר,lehipat(e)R
לְהַצְבִּיא,lehatzb(i)
לִצְבּוֹט,litzb(o)t
לְהִיצָּבֵט,lehitzav(e)t
לִצְבּוֹעַ,litzb(o)a
לְהִיצָּבֵעַ,lehitzav(e)a
לְהַצְבִּיעַ,lehatzb(i)a
לִצְבּוֹר,litzb(o)R
לְהִיצָּבֵר,lehitzav(e)R
לְהִצְטַבֵּר,lehitztab(e)R
לְצַדֵּד,letzad(e)d
לְהַצְדִּיעַ,lehatzd(i)a
לְהִצְטַדֵּק,lehitztad(e)k
לִצְדּוֹק,litzd(o)k
לְהַצְדִּיק,lehatzd(i)k
לְצַדֵּק,letzad(e)k
לְהַצְהִיב,lehatzh(i)v
לִצְהוֹל,litzh(o)l
לְהַצְהִיר,lehatzh(i)R
לָצוּד,latz(u)d
לְהִיצּוֹד,lehitz(o)d
לִצְווֹחַ,litzv(o)aH
לְצַווֵּחַ,letzav(e)aH
לְהִצְטַוּוֹת,lehitztav(o)t
לְצַוּוֹת,letzav(o)t
לָצוּם,latz(u)m
לָצוּף,latz(u)f
לְהָצִיף,lehatz(i)f
לְהָצִיץ,lehatz(i)tz
לָצוּץ,latz(u)tz
לְהָצִיק,lehatz(i)k
לָצוּר,latz(u)R
לְצַחְצֵחַ,letzaHtz(e)aH
לִצְחוֹק,litzH(o)k
לְהַצְחִיק,lehatzH(i)k
לְצַחֵק,letzaH(e)k
לְהִצְטַחֵק,lehitztaH(e)k
לְצַחְקֵק,letzaHk(e)k
לְצַטֵּט,letzat(e)t
לְצַייֵּד,letzay(e)d
לְהִצְטַייֵּד,lehitztay(e)d
לְצַייֵּן,letzay(e)n
לְהִצְטַייֵּן,lehitztay(e)n
לְצַייֵּץ,letzay(e)tz
לְהִצְטַייֵּר,lehitztay(e)R
לְצַייֵּר,letzay(e)R
לְצַייֵּת,letzay(e)t
לְהִצְטַלֵּב,lehitztal(e)v
לְהַצְלִיב,lehatzl(i)v
לִצְלוֹחַ,litzl(o)aH
לְהַצְלִיחַ,lehatzl(i)aH
לְהִיצָּלוֹת,lehitzal(o)t
לִצְלוֹת,litzl(o)t
לִצְלוֹל,litzl(o)l
לְהָצֵל,lehatz(e)l
לְהִצְטַלֵּל,lehitztal(e)l
לְצַלֵּם,letzal(e)m
לְהִצְטַלֵּם,lehitztal(e)m
לִצְלוֹעַ,litzl(o)a
לְהַצְלִיף,lehatzl(i)f
לִצְלוֹף,litzl(o)f
לְצַלְצֵל,letzaltz(e)l
לִצְמוֹא,litzm(o)
לְהַצְמִיד,lehatzm(i)d
לְהִיצָּמֵד,lehitzam(e)d
לִצְמוֹחַ,litzm(o)aH
לְהַצְמִיחַ,lehatzm(i)aH
לְהִצְטַמְצֵם,lehitztamtz(e)m
לְצַמְצֵם,letzamtz(e)m
לְהִצְטַמֵּק,lehitztam(e)k
לְהִצְטַמְרֵר,lehitztamR(e)R
לְצַמְרֵר,letzamR(e)R
לִצְמוֹת,litzm(o)t
לְהַצְמִית,lehatzm(i)t
לְצַנְזֵר,letzanz(e)R
לִצְנוֹחַ,litzn(o)aH
לְהַצְנִיחַ,lehatzn(i)aH
לְצַנֵּן,letzan(e)n
לְהִצְטַנֵּן,lehitztan(e)n
לְהָצֵן,lehatz(e)n
לְהִצְטַנֵּעַ,lehitztan(e)a
לְהַצְנִיעַ,lehatzn(i)a
לְהַצְנִיף,lehatzn(i)f
לְהִצְטַנֵּף,lehitztan(e)f
לִצְנוֹף,litzn(o)f
לְצַנְרֵר,letzanR(e)R
לְצַנְתֵּר,letzant(e)R
לִצְעוֹד,litz'(o)d
לְהַצְעִיד,lehatz'(i)d
לִצְעוֹת,litz'(o)t
לִצְעוֹן,litz'(o)n
לִצְעוֹק,litz'(o)k
לְהִצְטַעֵק,lehitzta'(e)k
לְצַעֵר,letza'(e)R
לְהִצְטַעֵר,lehitzta'(e)R
לְהִיצָּפוֹת,lehitzaf(o)t
לְצַפּוֹת,letzap(o)t
לִצְפּוֹת,litzp(o)t
לִצְפּוֹן,litzp(o)n
לְהִיצָּפֵן,lehitzaf(e)n
לְהַצְפִּין,lehatzp(i)n
לְצוֹפֵף,letzof(e)f
לְהִצְטוֹפֵף,lehitztof(e)f
לְצַפְצֵף,letzaftz(e)f
לִצְפּוֹר,litzp(o)R
לְצַקְצֵק,letzaktz(e)k
לִצְרוֹב,litzR(o)v
לְהִיצָּרֵב,lehitzaR(e)v
לְהִצְטָרֵד,lehitztaR(e)d
לִצְרוֹחַ,litzR(o)aH
לְהִצְטָרֵךְ,lehitztaR(e)H
לִצְרוֹךְ,litzR(o)H
לְהַצְרִיךְ,lehatzR(i)H
לְהִיצָּרֵךְ,lehitzaR(e)H
לִצְרוֹם,litzR(o)m
לְהִצְטָרֵף,lehitztaR(e)f
לְצָרֵף,letzaR(e)f
לִצְרוֹף,litzR(o)f
לְצַרְצֵר,letzaRtz(e)R
לִצְרוֹר,litzR(o)R
לְהָצֵר,lehatz(e)R
לְצוֹתֵת,letzot(e)t
לִקְבּוֹל,likb(o)l
לְקַבֵּל,lekab(e)l
לְהִתְקַבֵּל,lehitkab(e)l
לְהַקְבִּיל,lehakb(i)l
לְהִיקָּבֵעַ,lehikav(e)a
לְקַבֵּעַ,lekab(e)a
לְהִתְקַבֵּעַ,lehitkab(e)a
לִקְבּוֹעַ,likb(o)a
לְהִיקָּבֵץ,lehikav(e)tz
לְקַבֵּץ,lekab(e)tz
לְהִתְקַבֵּץ,lehitkab(e)tz
לִקְבּוֹץ,likb(o)tz
לִקְבּוֹר,likb(o)R
לְהִיקָּבֵר,lehikav(e)R
לָקוֹד,lak(o)d
לְקַדֵּד,lekad(e)d
לְהַקְדִּיחַ,lehakd(i)aH
לִקְדּוֹחַ,likd(o)aH
לְהִיקָּדֵחַ,lehikad(e)aH
לְקַדֵּם,lekad(e)m
לְהַקְדִּים,lehakd(i)m
לְהִתְקַדֵּם,lehitkad(e)m
לִקְדּוֹם,likd(o)m
לְהִתְקַדֵּר,lehitkad(e)R
לִקְדּוֹר,likd(o)R
לְקַדֵּשׁ,lekad(e)x
לְהִתְקַדֵּשׁ,lehitkad(e)x
לְהַקְדִּישׁ,lehakd(i)x
לְהִתְקַהוֹת,lehitkah(o)t
לְהַקְהוֹת,lehakh(o)t
לְהִתְקַהֵל,lehitkah(e)l
לְהִיקָּהֵל,lehikah(e)l
לְקַווֵּד,lekav(e)d
לְקַוּוֹת,lekav(o)t
לְהִיקָּווֹת,lehikav(o)t
לָקוּם,lak(u)m
לְהָקִים,lehak(i)m
לְקוֹמֵם,lekom(e)m
לְהִתְקוֹמֵם,lehitkom(e)m
לְקוֹנֵן,lekon(e)n
לָקוּץ,lak(u)tz
לְקַזֵּז,lekaz(e)z
לְהִתְקַזֵּז,lehitkaz(e)z
לְקַטֵּב,lekat(e)v
לְהִתְקוֹטֵט,lehitkot(e)t
לִקְטוֹל,likt(o)l
לְהִיקָּטֵל,lehikat(e)l
לְקַטֵּל,lekat(e)l
לְהִתְקַטֵּל,lehitkat(e)l
לִקְטוֹן,likt(o)n
לְהַקְטִין,lehakt(i)n
לִקְטוֹעַ,likt(o)a
לְהִיקָּטֵעַ,lehikat(e)a
לִקְטוֹף,likt(o)f
לְהִיקָּטֵף,lehikat(e)f
לְקַטֵּר,lekat(e)R
לְהַקְטִיר,lehakt(i)R
לְקַטְרֵג,lekatR(e)g
לְהָקִיא,lehak(i)
לְקַייֵּם,lekay(e)m
לְהִתְקַייֵּם,lehitkay(e)m
לְהָקִיץ,lehak(i)tz
לְהַקְלִיד,lehakl(i)d
לְהִתְקַלֵּחַ,lehitkal(e)aH
לִקְלוֹחַ,likl(o)aH
לְקַלֵּחַ,lekal(e)aH
לְהַקְלִיט,lehakl(i)t
לְהִיקָּלֵט,lehikal(e)t
לִקְלוֹט,likl(o)t
לִקְלוֹת,likl(o)t
לְהִיקָּלוֹת,lehikal(o)t
לְקַלֵּל,lekal(e)l
לְהָקֵל,lehak(e)l
לְהִיקָּלֵעַ,lehikal(e)a
לִקְלוֹעַ,likl(o)a
לְקַלֵּף,lekal(e)f
לִקְלוֹף,likl(o)f
לְהִתְקַלֵּף,lehitkal(e)f
לְהַקְלִיק,lehakl(i)k
לְקַלְקֵל,lekalk(e)l
לְהִתְקַלְקֵל,lehitkalk(e)l
לְקַמֵּט,lekam(e)t
לְהִתְקַמֵּט,lehitkam(e)t
לְהִיקָּמֵל,lehikam(e)l
לִקְמוֹל,likm(o)l
לְקַמְפֵּל,lekamp(e)l
לְקַמֵּץ,lekam(e)tz
לִקְמוֹץ,likm(o)tz
לְהִתְקַמֵּץ,lehitkam(e)tz
לְהִתְקַמְצֵן,lehitkamtz(e)n
לְקַמֵּר,lekam(e)R
לְקַנֵּא,lekan(e)
לְהִתְקַנֵּא,lehitkan(e)
לְקַנֵּחַ,lekan(e)aH
לְהַקְנִיט,lehakn(i)t
לְקַנְטֵר,lekant(e)R
לִקְנוֹת,likn(o)t
לְהִיקָּנוֹת,lehikan(o)t
לְהַקְנוֹת,lehakn(o)t
לְקַנֵּן,lekan(e)n
לִקְנוֹס,likn(o)s
לְהִיקָּנֵס,lehikan(e)s
לִקְסוֹם,liks(o)m
לְהַקְסִים,lehaks(i)m
לְקַעְקֵעַ,leka'ak(e)a
לְהִיקָּפֵא,lehikaf(e)
לְהַקְפִּיא,lehakp(i)
לִקְפּוֹא,likp(o)
לְקַפֵּד,lekap(e)d
לְהַקְפִּיד,lehakp(i)d
לְקַפֵּחַ,lekap(e)aH
לִקְפּוֹחַ,likp(o)aH
לְקַפּוֹת,lekap(o)t
לְקַפֵּל,lekap(e)l
לְהִתְקַפֵּל,lehitkap(e)l
לְהַקְפִּיץ,lehakp(i)tz
לִקְפּוֹץ,likp(o)tz
לְקַפֵּץ,lekap(e)tz
לְהַקְצִיב,lehaktz(i)v
לִקְצוֹב,liktz(o)v
לְהַקְצוֹת,lehaktz(o)t
לְהַקְצִין,lehaktz(i)n
לְהַקְצִיעַ,lehaktz(i)a
לִקְצוֹף,liktz(o)f
לְהַקְצִיף,lehaktz(i)f
